s 606, a 0.94 
s 607, a 0.98 
s 608, a 0.92 
s 609, a 0.94 
s 610, a 0.88 
s 611, a 0.9 
s 612, a 0.92 
s 613, a 0.98 
s 614, a 0.94 
s 615, a 0.96 
s 616, a 0.98 
s 617, a 0.94 
s 618, a 0.92 
s 619, a 1 
s 620, a 0.98 
s 621, a 1 
s 622, a 0.9 
s 623, a 0.94 
s 624, a 0.96 
s 625, a 1 
s 626, a 0.9 
s 627, a 0.96 
s 628, a 0.96 
s 629, a 0.96 
s 630, a 0.96 
s 631, a 0.92 
s 632, a 0.9 
s 633, a 0.98 
s 634, a 0.94 
s 635, a 0.94 
s 636, a 0.98 
s 637, a 0.96 
s 638, a 0.96 
s 639, a 0.92 
s 640, a 0.92 
s 641, a 0.98 
s 642, a 0.98 
s 643, a 0.98 
s 644, a 0.92 
s 645, a 1 
s 646, a 0.96 
s 647, a 0.94 
s 648, a 0.96 
s 649, a 0.96 
s 650, a 0.96 
s 651, a 0.96 
s 652, a 1 
s 653, a 0.98 
s 654, a 0.98 
s 655, a 0.9 
s 656, a 0.96 
s 657, a 0.98 
s 658, a 0.96 
s 659, a 0.94 
s 660, a 0.98 
s 661, a 0.94 
s 662, a 0.94 
s 663, a 0.94 
s 664, a 0.88 
s 665, a 0.92 
s 666, a 0.98 
s 667, a 1 
s 668, a 0.94 
s 669, a 0.98 
s 670, a 0.98 
s 671, a 0.96 
s 672, a 0.92 
s 673, a 0.98 
s 674, a 0.98 
s 675, a 0.96 
s 676, a 0.96 
s 677, a 0.98 
s 678, a 0.96 
s 679, a 0.98 
s 680, a 0.9 
s 681, a 0.94 
s 682, a 0.98 
s 683, a 0.94 
s 684, a 0.94 
s 685, a 0.96 
s 686, a 0.96 
s 687, a 0.88 
s 688, a 0.9 
s 689, a 0.96 
s 690, a 0.98 
s 691, a 1 
s 692, a 0.96 
s 693, a 1 
s 694, a 0.92 
s 695, a 0.92 
s 696, a 0.92 
s 697, a 1 
s 698, a 0.94 
s 699, a 0.96 
s 700, a 0.92 
s 701, a 0.94 
s 702, a 0.92 
s 703, a 0.92 
s 704, a 0.94 
s 705, a 1 
s 706, a 0.96 
s 707, a 0.92 
s 708, a 0.94 
s 709, a 0.9 
s 710, a 0.98 
s 711, a 0.94 
s 712, a 0.96 
s 713, a 0.92 
s 714, a 0.98 
s 715, a 0.94 
s 716, a 0.96 
s 717, a 0.98 
s 718, a 0.98 
s 719, a 0.94 
s 720, a 0.86 
s 721, a 1 
s 722, a 0.96 
s 723, a 0.96 
s 724, a 0.98 
s 725, a 1 
s 726, a 0.98 
s 727, a 0.96 
s 728, a 0.94 
s 729, a 0.94 
s 730, a 0.9 
s 731, a 0.96 
s 732, a 0.96 
s 733, a 0.94 
s 734, a 0.96 
s 735, a 0.98 
s 736, a 0.92 
s 737, a 0.96 
s 738, a 1 
s 739, a 1 
s 740, a 0.94 
s 741, a 0.96 
s 742, a 0.96 
s 743, a 0.96 
s 744, a 0.92 
s 745, a 0.92 
s 746, a 0.94 
s 747, a 1 
s 748, a 0.98 
s 749, a 1 
s 750, a 0.92 
s 751, a 0.94 
s 752, a 0.94 
s 753, a 0.96 
s 754, a 0.98 
s 755, a 1 
s 756, a 1 
s 757, a 0.96 
s 758, a 0.98 
s 759, a 0.9 
s 760, a 0.9 
s 761, a 0.96 
s 762, a 0.92 
s 763, a 0.9 
s 764, a 1 
s 765, a 1 
s 766, a 0.94 
s 767, a 0.92 
s 768, a 0.94 
s 769, a 1 
s 770, a 0.98 
s 771, a 0.98 
s 772, a 0.98 
s 773, a 0.98 
s 774, a 1 
s 775, a 1 
s 776, a 0.92 
s 777, a 0.94 
s 778, a 0.96 
s 779, a 0.96 
s 780, a 0.88 
s 781, a 0.94 
s 782, a 0.94 
s 783, a 0.98 
s 784, a 0.92 
s 785, a 0.96 
